trunkId, day1, day2, day3, day4, day5,
51,114,172,319,246,431,
2618,102,0,0,0,0,
1397,308,84,0,0,0,
150,85,188,0,268,1299,
1905,98,509,2841,0,157,
559,234,278,7052,7060,7221,
2613,1000,204,378,113,334,
673,547,571,0,207,209,
1445,116,471,246,153,0,
2413,236,0,0,0,0,
552,184,0,0,216,97,
2835,123,0,0,0,0,
1778,523,0,0,0,0,
1279,97,0,0,0,0,
1704,93,609,0,0,0,
82,126,181,0,0,0,
1108,535,151,105,0,0,
1416,201,170,164,0,79,
975,409,0,0,0,0,
895,102,150,117,114,0,
797,113,159,0,129,0,
1980,116,67,0,77,0,
1916,89,0,0,0,0,
1907,139,0,0,0,0,
2125,84,457,117,690,0,
1930,516,455,912,658,337,
2305,89,0,0,1593,0,
2610,110,0,0,0,0,
1165,754,437,246,0,456,
1403,154,856,0,139,125,
2059,120,0,3312,3446,2746,
2189,132,82,929,0,513,
2386,130,0,0,0,0,
791,76,0,0,0,0,
1644,68,0,0,0,0,
2172,17703,19890,18326,18670,120,
205,276,240,0,0,0,
1305,102,0,0,0,0,
71,237,114,459,260,349,
2717,80,0,0,0,0,
2757,141,0,0,0,0,
2783,83,0,0,0,0,
2931,62,0,0,0,0,
2306,774,1063,2839,1285,7383,
543,65,128,0,71,0,
364,1090,0,0,0,100,
676,100,434,0,0,0,
672,658,81,537,458,93,
1979,835,294,0,347,4454,
1455,130,0,0,0,0,
544,71,80,0,0,0,
317,276,0,0,388,0,
725,224,0,0,195,0,
464,280,651,263,0,0,
1097,99,1078,1086,92,0,
353,317,1411,0,0,128,
387,171,178,177,209,107,
2877,62,138,0,91,81,
157,142,115,2975,4853,0,
1045,5416,9440,1742,0,1478,
1786,181,226,980,83,91,
2460,99,129,209,202,0,
279,362,154,167,0,72,
2292,65,127,0,0,0,
229,2563,909,4862,308,0,
2690,75,0,0,0,0,
867,135,108,0,486,442,
253,100,0,120,0,157,
1771,641,81,86,0,939,
1170,136,0,0,0,1299,
1915,2655,484,1322,0,0,
126,97,487,643,534,0,
421,5034,928,2915,0,114,
2331,771,0,1558,321,218,
1227,8600,0,0,0,0,
148,103,0,0,0,0,
829,180,79,531,2277,164,
1987,86,101,295,89,79,
1850,328,0,0,79,0,
1591,79,0,0,0,0,
547,2561,3309,2902,3093,3046,
136,120,0,95,0,0,
1023,3043,7545,3165,0,523,
2410,87,0,194,180,1781,
896,2051,151,551,0,138,
115,1397,3208,0,262,7929,
2477,697,1057,921,1052,1088,
753,493,1105,2111,2206,2318,
123,115,0,176,191,0,
2106,3467,2942,3260,3745,3225,
2580,395,0,0,0,0,
65,160,632,1177,650,1301,
2703,216,151,220,430,0,
1342,165,1638,2620,1542,1204,
1642,1702,0,0,0,0,
404,1038,1011,0,277,131,
885,902,1204,876,0,1395,
1860,62,141,0,1164,1098,
2857,127,0,82,0,0,
13,1142,218,0,124,0,
4834,307,291,0,0,0,
1936,487,0,161,0,0,
309,3450,2586,6128,0,3562,
1404,819,1193,0,561,0,
1425,1794,319,361,219,774,
375,562,1142,807,204,2340,
396,325,234,0,167,282,
1299,178,0,0,0,0,
1788,184,189,149,62,69,
1917,2480,2718,2895,2857,21277,
2173,287,0,0,0,0,
825,1673,0,0,0,0,
2393,1783,1886,1674,2156,2451,
171,4286,0,0,2664,8919,
320,169,251,0,143,0,
1992,739,63,3643,718,5126,
2788,10524,0,11666,8343,7724,
1167,99,0,0,0,156,
1246,1483,835,3676,2988,2871,
2355,864,0,0,0,0,
2449,275,206,120,156,356,
2465,254,87,253,132,75,
165,503,175,295,2092,324,
1689,734,0,0,126,242,
2123,777,176,450,788,967,
2561,345,242,0,0,71,
2759,149,187,0,176,555,
865,510,133,170,838,223,
998,2582,1747,4537,2207,0,
1794,139,0,0,94,0,
380,174,0,0,0,1073,
625,718,322,1112,700,2306,
845,917,363,2058,202,1647,
2359,250,216,145,0,664,
2183,221,167,76,111,120,
1268,1448,243,1240,113,1196,
1734,103,0,0,0,0,
1522,171,0,486,106,436,
2307,483,73,325,246,942,
2515,544,447,144,477,0,
1366,854,312,0,119,0,
2398,398,479,821,0,559,
1161,470,472,377,705,368,
1341,129,187,0,0,156,
1236,189,0,0,155,0,
1495,157,0,136,0,0,
2531,148,0,0,958,193,
626,803,940,220,0,0,
671,174,168,0,0,676,
2209,429,0,0,0,220,
2487,198,0,178,149,168,
1015,139,109,283,0,240,
1431,1550,230,1712,108,1770,
1755,313,0,0,0,493,
407,411,0,0,711,168,
748,671,358,624,324,0,
842,448,1476,0,470,1183,
949,277,367,350,159,214,
1606,357,60,113,0,0,
2400,5627,404,2829,620,495,
668,192,77,369,243,637,
862,212,0,889,0,0,
1792,254,0,99,0,174,
2489,1690,2788,1871,2369,5658,
553,281,307,192,88,660,
1164,479,2859,217,0,1056,
2433,228,1417,0,0,141,
1725,62,799,268,0,0,
356,145,77,0,0,0,
401,507,93,0,0,1522,
505,790,1040,0,1646,0,
1430,242,262,732,80,427,
2054,334,948,1281,164,177,
2159,615,2288,0,734,0,
167,1490,973,0,188,0,
832,79,249,109,0,85,
2589,189,81,0,0,152,
373,1142,299,200,0,0,
664,679,336,308,3298,3783,
2746,138,208,73,366,112,
555,139,0,0,0,0,
1339,163,0,270,269,117,
2626,210,257,0,4359,0,
1002,969,307,589,746,0,
2314,1142,903,1745,524,799,
2914,2056,0,1588,2169,3048,
2762,72,74,0,0,514,
704,476,350,574,199,610,
1385,288,0,0,0,0,
493,1597,357,0,468,4044,
1190,3973,2356,2983,1594,4705,
1254,192,166,890,3228,1144,
2341,320,222,231,351,217,
1922,464,0,0,502,0,
104,258,0,371,0,0,
1524,123,186,678,99,0,
1018,543,2297,0,0,0,
709,4694,5353,8486,6838,203,
2194,1056,382,0,0,0,
140,709,1654,1178,0,75,
2744,2451,1585,3177,2496,2731,
59,937,0,0,0,0,
1144,333,8072,7238,363,0,
1030,251,0,0,0,0,
